episode,reward,episode_length
960,129.0,129
961,128.0,128
962,144.0,144
963,155.0,155
964,176.0,176
965,254.0,254
966,242.0,242
967,272.0,272
968,339.0,339
969,230.0,230
970,260.0,260
971,234.0,234
972,190.0,190
973,168.0,168
974,156.0,156
975,150.0,150
976,178.0,178
977,144.0,144
978,163.0,163
979,132.0,132
980,153.0,153
981,142.0,142
982,136.0,136
983,173.0,173
984,134.0,134
985,196.0,196
986,243.0,243
987,197.0,197
988,190.0,190
989,169.0,169
990,225.0,225
991,166.0,166
992,160.0,160
993,183.0,183
994,159.0,159
995,154.0,154
996,166.0,166
997,123.0,123
998,124.0,124
999,113.0,113
